n,recurrent_dropout,dropout,pooling,toxic_auc,toxic_precision,toxic_recall,toxic_f1,severe_auc,severe_precision,severe_recall,severe_f1,obscene_auc,obscene_precision,obscene_recall,obscene_f1,threat_auc,threat_precision,threat_recall,threat_f1,insult_auc,insult_precision,insult_recall,insult_f1,identity_auc,identity_precision,identity_recall,identity_f1,final_auc
50,0.1,0.1,global_max,0.980215896,0.859942639,0.768803419,0.811823105,0.989998286,0.591194969,0.391666667,0.471177945,0.990213157,0.826953748,0.817823344,0.822363204,0.972447629,0.538461538,0.106060606,0.17721519,0.985766989,0.785375119,0.686307054,0.732506643,0.986356704,0.876712329,0.284444444,0.429530201,0.984166443
75,0.1,0.1,global_max,0.980192564,0.875062469,0.748290598,0.806726561,0.990080752,0.672131148,0.170833333,0.272425249,0.99053024,0.804932735,0.849369085,0.826554106,0.981447176,0.484848485,0.242424242,0.323232323,0.985410921,0.752158895,0.722821577,0.737198477,0.985273653,0.772277228,0.346666667,0.478527607,0.985489218
100,0.1,0.1,global_max,0.979675752,0.911222781,0.697435897,0.790123457,0.990478652,0.666666667,0.2,0.307692308,0.990269568,0.853310981,0.802839117,0.827305973,0.974248044,0.52,0.196969697,0.285714286,0.986063897,0.767086331,0.707883817,0.736296936,0.985649896,0.794642857,0.395555556,0.528189911,0.984397635
125,0.1,0.1,global_max,0.980095489,0.8255093,0.796581197,0.810787299,0.989926489,0.630434783,0.241666667,0.34939759,0.990657939,0.835784314,0.806782334,0.821027287,0.980849563,0.652173913,0.227272727,0.337078652,0.985867174,0.739454094,0.741908714,0.74067937,0.986535597,0.845360825,0.364444444,0.50931677,0.985655375
150,0.1,0.1,global_max,0.980231762,0.849347015,0.778205128,0.812221231,0.990171525,0.64893617,0.254166667,0.365269461,0.990286209,0.830049261,0.797318612,0.813354787,0.979488282,0.578947368,0.166666667,0.258823529,0.985363033,0.791286727,0.64813278,0.712591241,0.986161498,0.822222222,0.328888889,0.46984127,0.985283718
175,0.1,0.1,global_max,0.979973902,0.813229572,0.803846154,0.808510638,0.989698418,0.52972973,0.408333333,0.461176471,0.989873966,0.806037736,0.842271293,0.823756267,0.9772762,0.53125,0.257575758,0.346938776,0.985593266,0.775451951,0.676348548,0.72251773,0.986533732,0.848837209,0.324444444,0.469453376,0.984824914
200,0.1,0.1,global_max,0.980529214,0.821428571,0.805982906,0.813632442,0.990274542,0.628865979,0.254166667,0.362017804,0.990310635,0.808590806,0.846214511,0.826974952,0.983409227,0.566666667,0.257575758,0.354166667,0.986027173,0.729880478,0.760165975,0.744715447,0.987260583,0.72972973,0.48,0.579088472,0.986301896
225,0.1,0.1,global_max,0.981099929,0.890025575,0.743589744,0.81024447,0.990094744,0.586206897,0.283333333,0.382022472,0.990525034,0.820859873,0.813091483,0.816957211,0.977273359,0.652173913,0.227272727,0.337078652,0.986402066,0.784390244,0.667219917,0.721076233,0.986305712,0.842105263,0.355555556,0.5,0.985283474
250,0.1,0.1,global_max,0.9801802,0.895800106,0.72008547,0.798389007,0.990161731,0.634408602,0.245833333,0.354354354,0.989643185,0.836885246,0.805205047,0.82073955,0.98132437,0.583333333,0.212121212,0.311111111,0.986003811,0.789637306,0.632365145,0.702304147,0.987737413,0.835294118,0.315555556,0.458064516,0.985841785
200,0.1,0.2,global_max,0.980678687,0.826067812,0.801709402,0.813706354,0.990234752,0.622047244,0.329166667,0.430517711,0.990254743,0.806572069,0.851735016,0.82853855,0.982991561,0.538461538,0.318181818,0.4,0.985965508,0.740196078,0.75186722,0.745986002,0.988479272,0.751677852,0.497777778,0.598930481,0.986434087
200,0.1,0.3,global_max,0.980058564,0.82260184,0.802564103,0.812459442,0.990296055,0.6,0.325,0.421621622,0.990205407,0.798816568,0.851735016,0.824427481,0.98100899,0.53125,0.257575758,0.346938776,0.986149142,0.732904264,0.756016598,0.744281046,0.987699751,0.734693878,0.48,0.580645161,0.985902985
200,0.1,0.4,global_max,0.98049821,0.830155211,0.8,0.814798694,0.990549661,0.611111111,0.366666667,0.458333333,0.990306673,0.788321168,0.851735016,0.818802123,0.980645624,0.512195122,0.318181818,0.392523364,0.986112927,0.716705158,0.772614108,0.743610224,0.987647733,0.720930233,0.551111111,0.624685139,0.985960138
200,0.2,0.1,global_max,0.980073495,0.820096534,0.798717949,0.809266075,0.990103227,0.616161616,0.254166667,0.359882006,0.990318765,0.802552553,0.843059937,0.822307692,0.982040053,0.6,0.272727273,0.375,0.985646962,0.735987002,0.75186722,0.743842365,0.987808821,0.768656716,0.457777778,0.573816156,0.985998554
200,0.2,0.2,global_max,0.980749774,0.831244405,0.793589744,0.811980761,0.990317393,0.627906977,0.3375,0.43902439,0.990260659,0.804545455,0.837539432,0.820710974,0.983182873,0.575757576,0.287878788,0.383838384,0.985786013,0.73442623,0.743568465,0.738969072,0.987878737,0.751879699,0.444444444,0.558659218,0.986362575
200,0.2,0.3,global_max,0.980672077,0.828090385,0.798717949,0.813139004,0.990564353,0.612244898,0.375,0.465116279,0.990518425,0.795321637,0.858044164,0.825493171,0.980216908,0.564102564,0.333333333,0.419047619,0.9861303,0.730095541,0.760995851,0.745225518,0.987966645,0.737179487,0.511111111,0.603674541,0.986011451
200,0.2,0.4,global_max,0.980109752,0.812797233,0.803418803,0.808080808,0.990132173,0.62601626,0.320833333,0.424242424,0.990078089,0.788447653,0.861198738,0.823218997,0.981087282,0.5,0.303030303,0.377358491,0.986057289,0.722222222,0.765975104,0.743455497,0.987702827,0.701219512,0.511111111,0.59125964,0.985861235
200,0.3,0.1,global_max,0.980351727,0.810137457,0.805982906,0.808054841,0.990431603,0.636363636,0.2625,0.371681416,0.990229677,0.8,0.842271293,0.820591625,0.982518648,0.59375,0.287878788,0.387755102,0.986127613,0.732539683,0.765975104,0.748884381,0.988145631,0.753623188,0.462222222,0.573002755,0.986300817
200,0.3,0.2,global_max,0.980123307,0.825663717,0.797435897,0.811304348,0.990234665,0.617886179,0.316666667,0.418732782,0.990192035,0.811538462,0.832018927,0.82165109,0.981402347,0.575,0.348484848,0.433962264,0.985540732,0.739917695,0.746058091,0.742975207,0.987787193,0.768115942,0.471111111,0.584022039,0.985880046
200,0.3,0.3,global_max,0.98075547,0.843835616,0.78974359,0.81589404,0.990178521,0.62295082,0.316666667,0.419889503,0.990281279,0.803759398,0.843059937,0.822940724,0.97938284,0.475,0.287878788,0.358490566,0.986092524,0.729772192,0.770954357,0.749798224,0.98790978,0.751724138,0.484444444,0.589189189,0.985766736
200,0.3,0.4,global_max,0.980614603,0.837177748,0.791025641,0.813447594,0.99027804,0.633333333,0.316666667,0.422222222,0.990140105,0.800743494,0.849369085,0.824339839,0.980008865,0.583333333,0.212121212,0.311111111,0.986043838,0.727848101,0.763485477,0.745240988,0.987214252,0.695364238,0.466666667,0.558510638,0.985716617
200,0.4,0.1,global_max,0.980082909,0.818062253,0.797435897,0.807617399,0.990272268,0.653846154,0.283333333,0.395348837,0.990073298,0.816012317,0.835962145,0.825866771,0.983468262,0.633333333,0.287878788,0.395833333,0.985743717,0.743142145,0.741908714,0.742524917,0.988357618,0.792307692,0.457777778,0.58028169,0.986333012
200,0.4,0.2,global_max,0.980333215,0.813552007,0.805555556,0.809534035,0.990156659,0.626984127,0.329166667,0.431693989,0.990321533,0.799850635,0.844637224,0.821634062,0.982745949,0.484848485,0.242424242,0.323232323,0.985946992,0.74025974,0.756846473,0.748461223,0.987621258,0.718120805,0.475555556,0.572192513,0.986187601
200,0.4,0.3,global_max,0.980310286,0.822573562,0.80042735,0.811349361,0.990373361,0.632478632,0.308333333,0.414565826,0.990181397,0.792093704,0.853312303,0.821564161,0.979473444,0.461538462,0.272727273,0.342857143,0.985920453,0.724324324,0.778423237,0.7504,0.988251531,0.751677852,0.497777778,0.598930481,0.985751745
200,0.4,0.4,global_max,0.980523686,0.831775701,0.798717949,0.814911707,0.990367939,0.614864865,0.379166667,0.469072165,0.989954162,0.793708851,0.855678233,0.823529412,0.982420782,0.611111111,0.333333333,0.431372549,0.985857717,0.721617418,0.770124481,0.745082296,0.987362381,0.712643678,0.551111111,0.621553885,0.986081111
200,0,0,global_max,0.979981535,0.859382423,0.773076923,0.813948256,0.989864049,0.540540541,0.416666667,0.470588235,0.990626023,0.858515284,0.775236593,0.814753419,0.980778532,0.507692308,0.5,0.503816794,0.986342688,0.764448336,0.724481328,0.743928419,0.987629369,0.770833333,0.493333333,0.601626016,0.985870366
200,0.1,0.2,global_average,0.979178426,0.828711986,0.791880342,0.809877622,0.988739436,0.75,0.0875,0.156716418,0.988326138,0.813897764,0.80362776,0.808730159,0.963834494,0,0,0,0.984010737,0.733333333,0.712033195,0.722526316,0.980795182,0.693548387,0.191111111,0.299651568,0.980814069